"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16833","Should update museum with correct data","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldUpdateMuseumWithCorrectDataTest"
"","564","Can get painting by id","","2026-06-01","passed","2026-06-01","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetPaintingByIdTest"
"","347","Can not update artist name to exist","","2026-06-01","passed","2026-06-01","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canNotUpdateArtistNameToExistTest"
"","482","Can not create museum with exists name","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canNotCreateMuseumWithExistsNameTest"
"","598","Can get all users","","2026-06-01","passed","2026-06-01","","[API] Users tests","org.rococo.tests.tests.api.UserApiTest","canGetAllUsersTest"
"","7329","Check paintings found by filtered search","","2026-06-01","passed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldFindPaintingsWithFilterTest"
"","884","Can get artist by name","","2026-06-01","passed","2026-06-01","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canGetArtistByName"
"","569","Can update museum","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canUpdateMuseumTest"
"","465","Can not create painting with unknown artist","","2026-06-01","passed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotCreatePaintingWithUnknownArtistTest"
"","195","Can get museum by title","","2026-06-01","passed","2026-06-01","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetMuseumByTitle"
"","419","Returns Optional.empty() if search museum by unknown id","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetEmptyMuseumByUnknownIdTest"
"","19866","Check artist updates if data length is valid Case: [max]","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldUpdateArtistWithValidLengthDataTest"
"","157","Returns Optional.empty() if search artist by unknown name","","2026-06-01","passed","2026-06-01","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canGetEmptyArtistByUnknownNameTest"
"","543","Can not update artist name to exist","","2026-06-01","passed","2026-06-01","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canNotUpdateArtistNameToExistTest"
"","363","Can get user by username","","2026-06-01","passed","2026-06-01","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetUserByUsername"
"","412","Can not update museum name to exist","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canNotUpdateMuseumNameToExistTest"
"","20","Returns Optional.empty() if search country by unknown id","","2026-06-01","passed","2026-06-01","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetEmptyCountryByUnknownIdTest"
"","138","Should produce user into Kafka","","2026-06-01","passed","2026-06-01","","[Kafka] Users tests","org.rococo.tests.tests.fake.kafka.AuthKafkaTest","userShouldBeProducedToKafkaTest"
"","17003","Check errors visible on add new painting form if fields have greater than max characters length Case: [max + 1]","","2026-06-01","passed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayErrorsOnAddAristFormIfPaintingFieldsHaveGreaterThanMaxLengthTest"
"","204","Can create user","","2026-06-01","passed","2026-06-01","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canCreateUserTest"
"","9979","Check errors visible on update artist form if fields have greater than max characters length Case: [min - 1]","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldVisibleErrorsOnArtistUpdateFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","28501","Check errors visible on update museum form if fields have invalid data length Case: [1]","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","118","Can not create museum with exists name","","2026-06-01","passed","2026-06-01","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canNotCreateMuseumWithExistsNameTest"
"","8088","Check update painting button not exists without authorization","","2026-06-01","passed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldNotAvailableUpdatePaintingWithoutAuthorizationTest"
"","32","Can get country by code","","2026-06-01","passed","2026-06-01","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetCountryByCodeTest"
"","675","Can get all museums","","2026-06-01","passed","2026-06-01","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canGetAllMuseumsTest"
"","835","Can not create artist with exists name","","2026-06-01","passed","2026-06-01","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canNotCreateArtistWithExistsNameTest"
"","5457","Check errors displayed if registration data has invalid length Case: [max + 1]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfRegistrationDataLengthIsInvalidTest"
"","195","Can update museum","","2026-06-01","passed","2026-06-01","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canUpdateMuseumTest"
"","19910","Check error displayed on add museum form when uploading image with invalid format","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayErrorOnAddMuseumFormWhenUploadingInvalidImageFormat"
"","10459","Check errors visible on update painting form if fields have greater than max characters length Case: [min - 1]","","2026-06-01","failed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldVisibleErrorsOnPaintingUpdateFormIfPaintingFieldsHaveGreaterThanMaxLengthTest"
"","327","Can not update painting with unknown artist","","2026-06-01","passed","2026-06-01","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canNotCreatePaintingWithUnknownArtistTest"
"","10264","Check errors visible on add new artist form if fields have greater than max characters length Case: [max + 10]","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorsOnAddAristFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","11823","Check museum updates if data length is valid Case: [min]","","2026-06-01","failed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldUpdateMuseumWithValidLengthDataTest"
"","766","Can not update painting with unknown museum","","2026-06-01","passed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotUpdatePaintingWithUnknownMuseumTest"
"","50","Can create artist","","2026-06-01","passed","2026-06-01","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canCreateArtistTest"
"","17796","Check museum updates if data length is valid Case: [max]","","2026-06-01","failed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldUpdateMuseumWithValidLengthDataTest"
"","645","Can not create painting with unknown museum","","2026-06-01","passed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotCreatePaintingWithUnknownMuseumTest"
"","14998","Check errors visible on update museum form if fields have invalid data length Case: [max + 10]","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","301","Returns Optional.empty() if search painting by unknown title","","2026-06-01","passed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canGetEmptyPaintingByUnknownTitleTest"
"","6638","Check errors visible on add new artist form if fields image has invalid format","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorOnAddArtistFormWhenUploadingInvalidImageFormat"
"","15640","Check errors visible on update painting form if fields have greater than max characters length Case: [max + 10]","","2026-06-01","failed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldVisibleErrorsOnPaintingUpdateFormIfPaintingFieldsHaveGreaterThanMaxLengthTest"
"","13344","Check errors visible on update artist form if fields have greater than max characters length Case: [max + 10]","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldVisibleErrorsOnArtistUpdateFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","23","Check displayed default empty list if artist not exists","","2026-06-01","failed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayEmptyListWhenArtistsNotExistsTest"
"","8061","Check update museum button not exists without authorization","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldNotAvailableUpdateMuseumWithoutAuthorizationTest"
"","9","Returns Optional.empty() if search painting by unknown title","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetEmptyPaintingByUnknownTitleTest"
"","7","Returns Optional.empty() if search user by unknown username","","2026-06-01","passed","2026-06-01","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canGetEmptyUserByUnknownUsernameTest"
"","393","Should returns BAD_REQUEST if password is invalid","","2026-06-01","passed","2026-06-01","","[API] Login tests","org.rococo.tests.tests.api.LoginApiTests","shouldReturnBadRequestIfPasswordIsInvalidTest"
"","329","Can register user with valid data","","2026-06-01","passed","2026-06-01","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","canRegisterUserWithValidDataTest"
"","5044","Check errors displayed if password has invalid pattern Case: [password not contains lowercase symbols]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfPasswordHasInvalidPatternTest"
"","373","Can get museum by title","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetMuseumByTitle"
"","9","Returns Optional.empty() if search artist by unknown id","","2026-06-01","passed","2026-06-01","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canGetEmptyArtistByUnknownIdTest"
"","289","Should throw CountryNotFoundException if update museum with unknown country","","2026-06-01","passed","2026-06-01","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","shouldThrowCountryNotFoundExceptionIfUpdateMuseumWithUnknownCountryTest"
